datetime,feelslike,dew,humidity,precip,precipcover,windspeed,cloudcover,clear-day,partly-cloudy-day,rain,arrivals
2018-05-07,19.8,16.3,80.98,10.23,12.5,13.3,52.2,0,0,1,18.0
2018-05-08,19.2,16.8,86.56,4.16,8.33,21.3,70.4,0,0,1,14.0
2018-05-09,19.0,16.1,83.9,29.73,8.33,19.2,56.9,0,0,1,13.0
2018-05-10,18.3,15.2,83.35,1.0,4.17,17.4,46.0,0,0,1,14.0
2018-05-11,19.9,16.0,79.2,8.64,8.33,24.3,47.1,0,0,1,13.0
2018-05-12,20.4,15.3,74.7,27.76,8.33,15.1,35.0,0,0,1,10.0
2018-05-13,20.3,15.8,76.6,3.0,4.17,19.2,40.4,0,0,1,12.0
2018-05-14,19.8,16.4,81.25,0.1,4.17,21.8,55.2,0,0,1,17.0
2018-05-15,19.7,16.9,84.46,12.18,8.33,26.8,72.5,0,0,1,12.0
2018-05-16,19.6,15.0,76.82,13.43,8.33,13.4,56.8,0,0,1,9.0
2018-05-17,19.8,15.3,76.23,1.6,4.17,12.9,39.2,0,0,1,17.0
2018-05-18,20.8,15.9,75.06,0.6,8.33,14.7,59.2,0,0,1,14.0
2018-05-19,21.4,16.4,74.31,0.0,0.0,15.9,40.6,0,1,0,5.0
2018-05-20,22.1,16.8,74.42,0.0,0.0,11.8,34.5,0,1,0,17.0
2018-05-21,23.4,17.1,70.14,2.96,8.33,12.7,47.5,0,0,1,21.0
2018-05-22,23.4,16.9,69.38,0.0,0.0,12.3,21.1,0,1,0,17.0
2018-05-23,22.8,18.1,76.21,2.8,8.33,31.2,56.4,0,0,1,20.0
2018-05-24,21.2,17.1,78.64,12.7,12.5,23.4,57.5,0,0,1,10.0
2018-05-25,22.3,17.2,75.09,2.1,8.33,15.5,36.1,0,0,1,27.0
2018-05-26,23.7,17.5,71.52,2.0,4.17,16.6,39.2,0,0,1,8.0
2018-05-27,24.2,17.3,68.74,0.0,0.0,16.3,18.8,1,0,0,14.0
2018-05-28,24.1,17.9,70.64,14.3,8.33,16.9,31.1,0,0,1,19.0
2018-05-29,24.4,18.7,73.92,10.2,8.33,17.4,32.7,0,0,1,15.0
2018-05-30,24.6,18.7,72.6,2.0,4.17,18.4,25.5,0,0,1,15.0
2018-05-31,24.2,19.4,77.08,7.0,4.17,14.9,36.3,0,0,1,14.0
2018-06-01,25.1,19.8,76.32,0.0,0.0,13.9,33.1,0,1,0,22.0
2018-06-02,26.4,20.2,73.36,0.4,4.17,14.1,30.8,0,0,1,25.0
2018-06-03,25.9,18.4,67.08,0.0,0.0,25.5,12.1,1,0,0,16.0
2018-06-04,26.1,17.2,59.77,0.0,0.0,24.5,5.7,1,0,0,19.0
2018-06-05,25.0,18.8,71.44,0.0,0.0,23.0,27.5,0,1,0,13.0
2018-06-06,24.5,18.9,74.06,0.7,4.17,17.8,39.5,0,0,1,17.0
2018-06-07,25.7,19.5,72.7,0.0,0.0,11.9,22.0,0,1,0,40.0
2018-06-08,27.2,18.9,65.96,0.0,0.0,29.9,15.2,1,0,0,16.0
2018-06-09,25.0,18.3,67.36,4.0,4.17,24.8,47.9,0,0,1,16.0
2018-06-10,23.9,18.3,71.47,17.0,8.33,23.1,43.8,0,0,1,30.0
2018-06-11,25.6,19.2,71.9,0.1,4.17,18.8,26.3,0,0,1,10.0
2018-06-12,26.8,20.9,75.72,0.0,0.0,14.1,24.0,0,1,0,17.0
2018-06-13,25.8,20.5,77.05,0.0,0.0,16.0,32.0,0,1,0,21.0
2018-06-14,24.3,18.8,73.76,2.0,4.17,23.1,41.2,0,0,1,25.0
2018-06-15,21.0,17.9,82.46,5.1,12.5,16.2,71.3,0,0,1,30.0
2018-06-16,21.6,18.4,82.76,27.73,8.33,14.8,59.5,0,0,1,24.0
2018-06-17,23.2,19.0,79.28,6.44,8.33,17.2,62.0,0,0,1,21.0
2018-06-18,23.6,20.2,82.85,0.23,8.33,12.3,63.1,0,0,1,25.0
2018-06-19,23.9,18.9,75.57,6.36,12.5,12.7,53.9,0,0,1,15.0
2018-06-20,25.3,18.2,68.63,0.0,0.0,19.0,64.8,0,1,0,22.0
2018-06-21,24.7,18.5,70.51,11.0,4.17,10.8,49.2,0,0,1,16.0
2018-06-22,24.6,19.3,75.53,0.7,8.33,17.8,34.1,0,0,1,25.0
2018-06-23,23.1,19.3,80.31,2.66,8.33,14.2,48.6,0,0,1,13.0
2018-06-24,23.3,17.2,70.45,13.0,8.33,22.7,34.2,0,0,1,36.0
2018-06-25,21.2,17.4,79.25,17.11,8.33,16.2,80.9,0,0,1,29.0
2018-06-26,20.7,16.5,77.95,19.15,12.5,22.9,87.0,0,0,1,32.0
2018-06-27,20.9,16.6,77.16,4.07,8.33,29.1,73.9,0,0,1,20.0
2018-06-28,20.5,16.3,77.66,4.79,8.33,35.5,60.9,0,0,1,24.0
2018-06-29,21.5,16.7,74.58,5.1,8.33,17.4,42.8,0,0,1,25.0
2018-06-30,22.6,17.8,76.23,0.0,0.0,19.3,39.7,0,1,0,22.0
2018-07-01,25.1,19.7,77.07,0.0,0.0,13.1,16.2,1,0,0,36.0
2018-07-02,25.8,19.8,74.79,0.0,0.0,15.8,16.8,1,0,0,19.0
2018-07-03,25.8,19.6,73.75,0.0,0.0,13.1,3.1,1,0,0,2.0
2018-07-04,26.6,20.9,77.97,3.0,4.17,16.0,16.5,0,0,1,24.0
2018-07-05,28.4,21.2,73.47,0.0,0.0,19.7,14.2,1,0,0,22.0
2018-07-06,27.8,21.3,74.74,0.0,0.0,12.7,10.3,1,0,0,24.0
2018-07-07,27.4,20.9,73.66,0.0,0.0,36.2,20.6,0,0,0,11.0
2018-07-08,25.9,19.9,72.39,0.0,0.0,34.3,27.9,0,0,0,12.0
2018-07-09,24.9,19.5,75.32,3.4,12.5,27.3,29.6,0,0,1,21.0
2018-07-10,24.6,19.1,74.01,0.0,0.0,30.3,26.8,0,0,0,17.0
2018-07-11,24.4,18.8,74.32,0.0,0.0,17.8,23.6,0,1,0,32.0
